,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
200,VH61OQEJ,False,100.0,84.9,94.2,100.0,88.36,100.0,96.38399999999999,92.07333329999999,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
201,VH9CJJ5N,False,100.0,92.1666667,44.2,78.75,62.506666700000004,65.24,70.112,95.2866667,98.75,"Gillespie, Gary N                  ",Y,Y,A- 
203,W6OO1FUQ,False,100.0,69.8,39.1333333,37.5,44.613333299999994,71.69,96.38399999999999,95.21333329999999,81.205,"Gillespie, Gary N                  ",Y,Y,C  
204,WAEZO0JC,False,100.0,77.2666667,41.2333333,62.5,15.0,76.61,92.104,81.14,70.685,"Gillespie, Gary N                  ",Y,Y,C  
205,WHP1XRAO,False,100.0,65.5,86.83333329999999,0.0,53.9466667,59.78,98.11999999999999,70.36,71.965,"Gillespie, Gary N                  ",Y,Y,B  
207,WRXQHROG,False,80.0,69.8,96.66666670000001,92.5,79.4133333,70.44,83.672,69.2133333,64.98,"Gillespie, Gary N                  ",Y,Y,C+ 
210,X2V86U9W,False,100.0,76.06666670000001,81.0666667,88.75,49.64,62.44,94.12,97.3333333,98.595,"Gillespie, Gary N                  ",Y,Y,A  
211,XA4PUGCC,False,88.0,90.8,66.1333333,71.25,22.6666667,70.08,98.4,94.19333329999999,92.125,"Gillespie, Gary N                  ",Y,Y,A  
212,XJC1SCD3,False,100.0,93.1333333,88.06666670000001,88.75,86.66666670000001,89.63,98.4,88.86,89.4,"Gillespie, Gary N                  ",Y,Y,A  
213,XOMW2LI9,False,56.00000000000001,59.599999999999994,15.6,25.0,16.6666667,49.3,64.008,44.9266667,47.885,"Gillespie, Gary N                  ",Y,Y,C+ 
214,XSG9W3YN,False,100.0,86.2666667,78.2333333,92.5,93.1066667,70.06,98.11999999999999,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
215,XUQ9A89C,False,92.0,78.2333333,78.6,91.25,85.44,82.78,93.04,91.36,94.77499999999999,"Gillespie, Gary N                  ",Y,Y,A  
216,XY6OHYRU,False,100.0,59.8,56.49999999999999,70.0,57.6133333,86.04,91.024,66.9533333,92.635,"Gillespie, Gary N                  ",Y,Y,Grade Pending
218,YBKJHGXV,False,100.0,71.16666670000001,71.9333333,83.75,95.36,98.44000000000001,97.32,97.3333333,100.0,"Gillespie, Gary N                  ",Y,Y,A  
219,YCD0W2SB,False,100.0,71.7666667,82.8,66.25,18.0,69.8,78.12,41.0933333,70.685,"Gillespie, Gary N                  ",Y,Y,B- 
220,YCMYEOL0,False,100.0,78.5333333,96.66666670000001,90.0,82.66666670000001,76.07000000000001,96.52,77.4266667,98.49,"Gillespie, Gary N                  ",Y,Y,A- 
221,YNVQCW6R,False,100.0,98.0333333,95.1,90.0,96.0266667,93.33,60.56,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
223,Z74R1BQR,False,96.0,87.4666667,79.3,90.0,58.613333299999994,62.61,100.0,95.5266667,100.0,"Gillespie, Gary N                  ",Y,Y,D  
224,ZN61C26E,False,100.0,74.3,70.16666670000001,90.0,89.05333329999999,67.56,95.304,99.33333329999999,96.975,"Gillespie, Gary N                  ",Y,Y,A  
225,ZVUT6HP0,False,84.0,65.1,81.4,87.5,76.66666670000001,59.78,89.712,98.0,94.62,"Gillespie, Gary N                  ",Y,Y,S  
